Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
63,Březová,LM,Ukonceno,5.5,283000.00,355610.00,Interni,22/12/2021,04/01/2022,10/02/2022,08/02/2022,10/02/2022, 224987.00 ,01/03/2022/,16/03/2022,20/04/2022,20/04/2022, 153965.00 ,27/04/2022,26/04/2022,27/05/2022,13.07.2022,13/07/2022,18/07/2022, 30000.00 ,07/09/2022,27/10/2022
64,Újezdec,LM,Ukonceno,7.4,312000.00,389750.00,Interni,22/12/2021,04/01/2022,10/02/2022,08/02/2022,10/02/2022, 275383.00 ,03/03/2022,14/03/2022,20/04/2022,20/04/2022, 132830.00 ,27/04/2022,26/04/2022,27/05/2022,20.06.2022,20/06/2022,21/06/2022, 40000.00 ,07/09/2022,27/10/2022
65,Uherský Brod,LM,Ukonceno,7.4,312000.00,389750.00,Interni,03/01/2022,08/01/2022,17/02/2022,11/02/2022,11/02/2022, 275383.00 ,01/03/2022/,14/03/2022,20/04/2022,20/04/2022, 132830.00 ,27/04/2022,26/04/2022,27/05/2022,13.07.2022,13/07/2022,18/07/2022, 40000.00 ,07/09/2022,01/11/2022
66,Brno,"JH, LM",Odlozeno,7.2,316000.00,401563.00,Interni,03/01/2022,13/01/2022,,,, 277078.47 ,,,,, 138539.24 ,,,,,,, 46179.75 ,,
67,Uherské Hradiště,,Pripojeni,7.2,312200.00,387124.00,Interni,22/12/2021,04/01/2022,18/02/2022,13/01/2022,04/04/2022, 267122.00 ,11/04/2022,11/04/2022,,21/06/2022, 133562.00 ,,30/05/2022,20/11/2022,,,, 44520.00 ,,
68,Ostrožská Nová Ves,ET 10,Ukonceno,7.2,308800.00,382714.00,Interni,22/12/2021,04/01/2022,30/05/2022,19/08/2022,13/01/2022, 266333.00 ,13/09/2022,,,, 129776.00 ,,,,,,, 44012.11 ,,
69,Vlčnov,,Nerealizovano,,,,Interni,13/12/2021,,,,, - ,,,,, - ,,,,,,, - ,,
70,Strážnice,,Nerealizovano,,,,Interni,13/12/2021,,,,, - ,,,,, - ,,,,,,, - ,,
71,Lovčice,,Nerealizovano,5.4,251790.00,325690.00,Interni,13/12/2021,20/12/2021,,,, 224726.10 ,,,,, 112363.05 ,,,,,,, 37454.35 ,,
72,Bohuslavice u Kyjova,,Nerealizovano,,,,Interni,13/12/2021,,,,, - ,,,,, - ,,,,,,, - ,,
73,Uherské Hradiště,,Nerealizovano,8.1,336000.00,414777.00,Interni,13/12/2021,14/12/2021,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
74,Uherské Hradiště,,Pripojeni,7.2,271888.00,330755.00,Interni,13/12/2021,15/12/2021,13/04/2022,224/05/2022,27/01/2022, 181589.00 ,27/01/2022,25/02/2022,22/03/2022,13/06/2022, 160742.00 ,13/06/2022,08/062022,10/06/2022,17.08.2022,17/08/2022,19/08/2022, 38036.83 ,19/08/2022,24/08/2022
75,Horní Němčí,,Nerealizovano,5.4,295100.00,360000.00,Interni,03/01/2022,08/01/2022,,,, 248400.00 ,,,,, 124200.00 ,,,,,,, 41400.00 ,,
76,Zlín,,Nerealizovano,8.1,336000.00,414777.00,Interni,04/01/2022,07/01/2022,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
77,Bánov,,Nerealizovano,5.4,252560.00,326068.00,Interni,04/01/2022,09/01/2022,,,, 224986.92 ,,,,, 112493.46 ,,,,,,, 37497.82 ,,
78,Čejč,,Nerealizovano,5.4,252560.00,326068.00,Interni,05/01/2022,09/01/2022,,,, 224986.92 ,,,,, 112493.46 ,,,,,,, 37497.82 ,,
79,Uherský Ostroh,JG,Ukonceno,5.4,260000.00,341377.00,Interni,20/12/2022,01/01/2020,18/02/2022,24/02/2022,24/02/2022, 235550.13 ,03/03/2022,28/03/2022,12/05/2022,29/04/2022, 117775.07 ,16/05/2022,28/04/2022,26/05/2022,13.07.2022,13/07/2022,13/07/2022, 39258.36 ,19/07/2022,01/08/2022
80,Hodonín - Výhon,,Nerealizovano,8.1,336000.00,414777.00,Externi,04/01/2022,,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
81,Rohatec,ET,Nerealizovano,7.36,337900.00,408509.00,Externi,03/01/2022,09/02/2022,,,24/03/2022, 281871.21 ,,,,, 140935.61 ,,,,,,, 46978.54 ,,
82,Čejkovice,,Pripojeni,7.4,326000.00,399105.00,Interni,20/12/2021,19/01/2022,29/04/2022,04/02/2022,04/02/2022, 275382.45 ,04/02/2022,05/05/2022,05/08/2022,05/08/2022, 137691.23 ,02/09/2022,,07/11/2022,,,10/08/2022, 45897.08 ,01/09/2022,15/09/2022
83,Bojkovice,,Nerealizovano,7.2,326000.00,398905.00,Externi,30/12/2021,19/01/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
84,Hovorany,,Nerealizovano,8.1,336000.00,414777.00,Externi,30/12/2021,26/01/2022,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
